top1,wom,sm,walk,billboard,patronage,importantconvenience,importantvariety,importantprice,importanthealthy,importanttaste,importantambience,chipotleconvenient,chipotlevariety,chipotleprice,chipotlehealthy,chipotletaste,chipotleambience,female,age,income,plan,spending,buylocal,healthyimportanttome,
Chick-fil-a,1,0,0,0,0,4,4,5,5,5,4,5,5,3,4,5,3,0,36,84261,2,2,2,1,
El Pollo Loco,0,0,1,0,0,5,4,5,5,5,5,2,4,3,5,5,4,0,20,40048,2,3,1,2,
burger king,0,1,0,0,0,4,5,5,5,5,5,3,4,4,5,3,3,0,45,30362,2,2,2,2,
El Pollo Loco,0,0,1,0,0,4,5,5,4,5,4,4,2,5,5,2,3,1,49,40104,2,2,1,2,
El Pollo Loco,1,0,0,0,0,4,3,3,4,5,5,4,3,3,5,3,2,0,55,52712,3,4,1,2,
Subway,0,1,0,0,0,5,5,5,4,5,5,4,3,3,4,3,4,0,29,20196,2,2,2,3,
El Pollo Loco,1,0,0,0,0,5,5,5,4,5,4,5,3,5,5,5,5,1,45,23515,2,3,3,3,
Jasons Deli,1,0,0,0,0,5,5,5,5,5,4,5,4,5,5,5,3,1,33,28285,3,2,2,3,
Subway,0,1,0,0,2,4,4,4,4,5,4,1,4,3,5,5,3,0,43,76311,2,4,2,2,
In-n-out,0,0,1,0,0,5,,,5,,5,,,1,,5,,1,33,42186,1,,,,
El Pollo Loco,1,0,0,0,0,4,4,2,4,5,4,3,4,4,5,4,3,0,33,71247,2,4,1,1,
El Pollo Loco,0,0,1,0,0,4,4,5,5,5,4,3,2,4,2,4,2,1,69,25734,2,4,2,2,
Chipotle,0,0,1,0,4,5,4,5,3,5,4,5,4,5,4,5,5,0,19,18248,3,4,2,2,
El Pollo Loco,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,1,18,66888,1,1,1,1,
Panera,1,0,0,0,0,5,5,5,5,5,4,3,4,3,5,5,3,,,,,,,,
El Pollo Loco,1,0,0,0,0,4,5,5,5,5,4,3,5,4,,5,4,1,29,26017,1,2,2,1,
El Pollo Loco,1,0,0,0,0,5,5,5,5,5,5,2,5,4,5,5,3,0,39,21978,2,4,2,1,
panera,1,0,0,0,0,4,4,5,5,5,4,3,3,3,4,4,3,0,45,11342,2,2,2,2,
